,0
0,4.0
1,2.25
2,1.5
3,3.8
4,4.0
5,4.0
6,3.68
7,3.81
8,4.0
9,4.0
10,2.61
11,0.67
12,4.0
13,4.0
14,1.38
15,3.33
16,2.0
17,3.0
18,3.75
19,3.46
20,3.4
21,2.0
22,3.09
23,3.5
24,2.54
25,4.0
26,3.0
27,4.0
28,3.0
29,3.38
30,3.5
31,4.0
32,3.79
33,2.82
34,3.33
35,2.0
36,4.0
37,3.0
38,0.0
39,2.6
40,1.62
41,3.4
42,0.0
43,2.92
44,1.67
45,3.0
46,2.0
47,3.73
48,4.0
49,2.89
50,3.67
51,3.6
52,2.25
53,2.8
54,4.0
55,2.7
56,3.67
57,3.2
58,4.0
59,3.4
60,3.14
61,2.6
62,4.0
63,3.0
64,2.6
65,3.8
66,3.25
67,2.71
68,0.0
69,0.0
70,1.0
71,4.0
72,3.17
73,3.57
74,3.33
75,4.0
76,3.4
77,3.0
78,3.1
79,3.67
80,4.0
81,3.5
82,4.0
83,2.6
84,4.0
85,2.5
86,3.75
87,2.31
88,3.4
89,4.0
90,4.0
91,3.16
92,2.36
93,3.46
94,3.5
95,3.75
96,4.0
97,3.15
98,3.0
99,3.6
100,2.36
101,1.8
102,2.6
103,3.5
104,3.0
105,3.5
106,3.0
107,3.54
108,2.75
109,3.5
110,3.0
111,2.75
112,1.5
113,3.5
114,4.0
115,1.0
116,1.0
117,3.77
118,3.0
119,4.0
120,4.0
121,3.33
122,4.0
123,4.0
124,3.65
125,0.25
126,3.8
127,4.0
128,4.0
129,2.69
130,4.0
131,3.75
132,4.0
133,2.35
134,3.4
135,4.0
136,4.0
137,3.4
138,4.0
139,3.75
140,1.75
141,4.0
142,2.44
143,2.71
144,2.8
145,3.46
146,3.5
147,3.17
148,3.17
149,1.88
150,3.25
151,4.0
152,3.46
153,0.4
154,3.53
155,4.0
156,3.0
157,4.0
158,2.57
159,3.0
160,3.81
161,3.0
162,1.81
163,1.0
164,0.0
165,3.23
166,3.13
167,3.8
168,3.81
169,4.0
170,3.67
171,1.8
172,2.67
173,2.55
174,2.5
175,2.67
176,2.6
177,2.8
178,2.5
179,3.31
180,3.5
181,2.33
182,2.0
183,3.5
184,1.75
185,2.0
186,2.67
187,4.0
188,1.5
189,3.0
190,3.06
191,3.0
192,4.0
193,1.33
194,1.6
195,2.62
196,2.75
197,3.2
198,2.67
199,2.4
200,2.6
201,4.0
202,0.92
203,3.25
204,0.82
205,3.8
206,2.33
207,3.69
208,2.0
209,0.0
210,3.0
211,4.0
212,3.4
213,4.0
214,4.0
215,1.8
216,1.25
217,3.44
218,4.0
219,2.5
220,2.62
221,3.68
222,3.6
223,2.46
224,3.67
225,4.0
226,3.4
227,2.45
228,2.6
229,2.6
230,3.38
231,2.62
232,1.23
233,2.75
234,3.69
235,2.14
236,3.75
237,0.0
238,2.54
239,4.0
240,2.6
241,1.77
242,3.57
243,4.0
244,2.0
245,3.25
246,3.0
247,1.75
248,3.83
249,4.0
250,3.23
251,3.0
252,3.2
253,2.91
254,3.0
255,3.6
256,3.25
257,3.68
258,1.5
259,3.5
260,4.0
261,4.0
262,2.33
263,1.92
264,4.0
265,4.0
266,4.0
267,2.0
268,4.0
269,3.13
270,2.8
271,0.0
272,3.0
273,1.0
274,4.0
275,2.25
276,2.6
277,2.75
278,3.0
279,2.43
280,3.13
281,3.67
282,4.0
283,3.81
